UA_Country,UA_Name,UA_Continent,Housing,Cost of Living,Startups,Venture Capital,Travel Connectivity,Commute,Business Freedom,Safety,Healthcare,Education,Environmental Quality,Economy,Taxation,Internet Access,Leisure & Culture,Tolerance,Outdoors
 Portugal,Porto,Europe,8.109500000000002,7.422000000000001,4.313000000000001,1.886,3.1115,5.460000000000001,8.238666666666665,7.704500000000001,8.166666666666666,4.449,7.03875,3.483,4.1575,4.4945,5.625,9.5735,5.9485
 Portugal,Lisbon,Europe,6.734000000000001,7.004000000000001,6.022,3.194,4.191000000000001,5.31575,8.238666666666665,8.438,7.860333333333332,4.48,6.4115,3.483,4.1575,6.394000000000001,7.833500000000001,9.597,5.690999999999999
 Estonia,Tallinn,Europe,8.376500000000002,6.931000000000001,5.356,5.829,1.9705,5.932500000000001,8.129333333333333,9.4255,7.366333333333333,5.355,7.825500000000001,4.1850000000000005,5.341,5.202,7.0235,7.838500000000001,4.5355
 Texas,San Antonio,North America,6.402000000000001,6.683,5.356,3.53,1.6815000000000002,4.96475,8.671,4.2165,6.307,4.151999999999999,6.201499999999999,6.5145,4.772,8.0745,6.6955,6.254,3.4185000000000003
 Idaho,Boise,North America,6.9635,6.578,4.205,2.5960000000000005,1.3235,5.2250000000000005,8.671,4.3605,6.797333333333332,3.6245,8.069500000000001,6.5145,4.062,3.442,4.1995,6.9275,5.221
 Kentucky,Louisville,North America,7.258,6.358000000000001,4.254,2.293,1.473,1.954,8.671,3.6175,6.162333333333332,3.6245,6.601249999999999,6.5145,4.062,5.526999999999999,5.6935,5.778499999999999,1.3
 Iowa,Des Moines,North America,6.850999999999999,6.327,2.912,1.818,1.379,2.0722500000000004,8.671,6.984,6.709,3.6245,8.68225,6.5145,4.346,5.698,6.0665,8.4765,3.299500000000001
 Arizona,Phoenix,North America,6.533,6.208,6.508500000000001,4.558,3.3025,4.828500000000001,8.671,2.583,6.126333333333331,4.590999999999999,4.625249999999999,6.5145,4.488,6.178,6.8100000000000005,5.565,6.7355
 Wisconsin,Madison,North America,5.8295,6.173,4.017,2.9130000000000003,1.2295,5.473750000000001,8.671,7.362000000000001,7.006999999999999,5.385999999999999,9.524,6.5145,4.204,4.9925,4.422000000000001,7.9005,4.376
 Utah,Salt Lake City,North America,6.141000000000001,6.172000000000001,6.3,7.09,2.736999999999999,4.573999999999999,8.671,5.657,6.246333333333332,4.2805,6.21575,6.5145,4.204,6.810500000000001,5.932,8.6225,6.641000000000002
 Texas,Houston,North America,5.224500000000001,6.162,7.9345,4.474,4.338500000000001,4.03075,8.671,3.129,6.379,4.928,5.304500000000001,6.5145,4.772,6.248499999999999,7.144,5.34,5.385999999999999
 Tennessee,Chattanooga,North America,6.782,6.121,3.9095,2.228,1.2095,0.7969999999999999,8.671,4.468,6.242999999999999,3.6245,7.1515,6.5145,4.772,8.365,4.1625,4.7925,3.908
 Ohio,Cincinnati,North America,6.6775,6.1080000000000005,6.0995,2.709,1.9265,4.743500000000001,8.671,4.975,6.345999999999999,4.2805,7.1095,6.5145,3.9205,6.512000000000001,6.118000000000001,5.299,3.6075
 Texas,Dallas,North America,5.259000000000001,6.090999999999999,7.939500000000001,4.916,4.746499999999999,4.4705,8.671,4.339,6.086666666666666,4.284,6.693,6.5145,4.772,6.460999999999999,7.1685,5.294,4.501999999999999
 United Kingdom,Cardiff,Europe,7.065,6.082,3.3955,1.7800000000000002,4.890000000000001,5.764749999999999,8.991999999999999,8.21,8.318333333333332,4.785500000000001,6.607249999999999,5.438,5.9545,5.101,5.0285,7.996,4.8055
 New Mexico,Albuquerque,North America,7.262,6.059,3.772,1.493,1.4555000000000002,5.05575,8.671,1.3435,6.429999999999999,4.151999999999999,7.3195,6.5145,4.346,5.396000000000001,4.890000000000001,7.028499999999999,3.5155
 Canada,Quebec,Europe,8.5175,6.037,3.7345000000000006,2.237,1.3815000000000002,5.279999999999999,8.966,9.1595,8.131333333333334,5.42,7.3155,5.8405000000000005,7.2745000000000015,3.2985,5.636500000000001,8.622,4.718999999999999
 Michigan,Detroit,North America,6.223000000000001,6.032,5.4015,5.183999999999999,3.6405,0.933,8.671,4.4615,5.786333333333332,5.8185,4.04675,6.5145,3.7785,6.167000000000002,7.478,3.678,5.387499999999999
 Germany,Dresden,Europe,7.884500000000001,6.0280000000000005,2.4065,1.533,3.536000000000001,4.959999999999999,9.072333333333331,8.463999999999999,8.393666666666666,5.124500000000001,8.110750000000001,5.373500000000001,3.9035,5.6035,6.6385,7.369,4.649
 Canada,Ottawa,North America,6.700499999999999,6.027,6.055,2.612,1.532,5.4052500000000006,8.966,8.4475,8.011333333333333,5.423500000000001,9.29225,5.8405000000000005,7.2745000000000015,6.267499999999999,6.0920000000000005,8.6295,5.318499999999999
 France,Marseille,Europe,7.5885,6.026000000000002,3.3095000000000003,2.843,5.950500000000001,5.86075,8.088333333333333,5.252,8.843666666666666,4.442,3.942,4.2045,2.648000000000001,5.5425,5.443000000000001,6.1735,5.1835
 United Kingdom,Liverpool,Europe,7.485,6.02,3.5589999999999997,2.355,6.649500000000001,4.541,8.991999999999999,7.7285,9.027666666666669,4.872,7.275250000000001,5.438,5.9545,8.994,5.393,7.451,5.458500000000001
 United Kingdom,Belfast,Europe,7.532000000000001,6.014000000000001,3.55,1.6210000000000002,4.0985,5.28,8.991999999999999,7.678999999999999,8.168333333333333,4.6865000000000006,8.377500000000001,5.438,5.9545,5.5955,4.957000000000001,5.9795,1.413
 Virginia,Richmond,North America,6.439500000000002,5.949,4.2705,2.097,1.38,5.648499999999999,8.671,3.3765,6.488333333333332,3.6245,6.6217500000000005,6.5145,4.204,7.645499999999999,6.3385,7.151,1.035
 Canada,Montreal,North America,7.392000000000001,5.948,8.102500000000001,5.773000000000001,3.443,5.107,8.966,7.822,7.395,7.299000000000001,7.7215,5.8405000000000005,7.2745000000000015,4.478000000000001,6.9175,8.193,5.303
 Missouri,Kansas City,North America,6.7075,5.844,2.793999999999999,3.5380000000000007,1.869,1.9725000000000004,8.671,4.422500000000001,6.4496666666666655,3.6245,7.9765,6.5145,4.062,8.188500000000001,6.674500000000001,5.0205,4.161500000000001
 United Kingdom,Birmingham,Europe,5.9035,5.814,4.3575,2.541,5.8450000000000015,5.4935,8.991999999999999,6.946500000000001,8.293666666666667,5.0265,5.7385,5.438,5.9545,5.940000000000001,4.4350000000000005,6.421,1.2675
 Nevada,Las Vegas,North America,7.001,5.759,7.515,2.022,3.5285,4.807499999999999,8.671,2.385,5.6353333333333335,3.6245,5.556500000000001,6.5145,4.772,5.3035,6.3685,7.275,5.385
 Ohio,Columbus,North America,6.2895,5.746000000000001,5.878500000000001,4.973000000000001,1.663,5.02675,8.671,5.2815,6.406,5.047499999999999,8.166,6.5145,3.9205,4.5535,6.465999999999999,5.9215,4.544999999999999
 Tennessee,Nashville,North America,4.4545,5.742000000000001,6.0600000000000005,3.569,1.9080000000000004,4.501,8.671,5.078,5.952999999999999,4.733,7.056499999999999,6.5145,4.772,6.6370000000000005,7.0200000000000005,6.807500000000001,1.2735
 Canada,Victoria,North America,5.696,5.703,4.479,2.719,1.4945,5.226000000000001,8.966,7.808000000000001,7.693,5.3815,9.29475,5.8405000000000005,7.2745000000000015,6.194999999999999,4.523000000000001,8.7825,4.3555
 Germany,Stuttgart,Europe,6.314000000000001,5.673000000000002,3.7565,1.936,5.9645,6.205499999999999,9.072333333333331,8.269500000000003,7.851333333333333,5.0505,7.225,5.373500000000001,3.9035,5.124,5.556,7.533499999999998,3.9495
 Taiwan,Taipei,Asia,7.977,5.644,5.468500000000001,2.7810000000000006,2.5105,5.6065,8.341666666666667,9.542,5.905333333333333,5.589500000000001,6.23575,6.6355,7.333,5.2315000000000005,7.2635,8.0435,5.5885
 United Kingdom,Glasgow,Europe,6.9285000000000005,5.623,3.505,1.1820000000000002,6.1995000000000005,5.35225,8.991999999999999,7.496,8.813333333333333,5.306500000000001,7.100999999999999,5.438,5.9545,4.252999999999999,4.671000000000001,6.9430000000000005,3.740999999999999
 North Carolina,Raleigh,North America,6.128500000000001,5.610000000000001,5.497,5.157000000000002,1.757,4.78425,8.671,6.5225,6.677333333333333,7.1165,8.583750000000002,6.5145,4.062,7.9515,6.613,7.562000000000001,3.3905000000000003
 Germany,Cologne,Europe,6.5265,5.606999999999999,5.1065000000000005,3.2780000000000005,7.282000000000001,5.381749999999999,9.072333333333331,6.6295,8.04,5.1035,6.48,5.373500000000001,3.9035,5.666,5.3225,6.7115,5.289000000000001
 Ohio,Cleveland,North America,7.155999999999999,5.595,4.961,3.646,2.077500000000001,4.42125,8.671,3.637,6.755666666666666,4.6185,7.2505,6.5145,3.9205,5.476500000000001,5.696500000000001,4.775499999999999,4.669
 Sweden,Malmo,Europe,7.263000000000001,5.57,3.645,2.683,4.7675,5.646750000000001,9.568999999999996,6.598000000000001,8.215,3.893,9.2055,5.694499999999999,2.7495000000000003,8.219999999999999,2.3445,5.304,4.524
