City,Location,Index,Rank,Rank move,Index move
Honolulu,,US,90.6,14,46,14.2
Houston,,US,84,31,31,7.8
Madrid,,Spain,86.8,19,25,5.5
Miami,,US,84.3,28,24,5.6
Barcelona,,Spain,88.3,16,22,5.5
Pittsburgh,,US,85.3,25,22,5.4
Chicago,,US,84.3,28,21,5.1
Minneapolis,,US,83.4,36,19,5.6
Boston,,US,83.8,34,18,5.1
Melbourne,,Australia,92.5,8,16,5
Hamburg,,Germany,81.9,47,-34,-8.5
Frankfurt,,Germany,82.8,39,-29,-8.5
Dusseldorf,,Germany,80.2,50,-28,-8.3
Prague,,Czech Rep,71.2,72,-27,-9.6
Dublin,,Ireland,80.1,51,-22,-6.4
Rome,,Italy,77.3,57,-21,-6.5
Nouméa,,New Caledonia,73,67,-20,-6.9
Bratislava,,Slovakia,69.3,77,-20,-8.0
Athens,,Greece,62.9,92,-20,-9.1,
Montreal,,Canada,82.7,40,-19,-6.0
