Country,City,Rank,Overall Rating,Stability,Healthcare,Environment,Education,Infrastructure
Australia,Melbourne,1,97.5,95.0,100.0,95.1,100.0,100.0
Austria,Vienna,2,97.4,95.0,100.0,94.4,100.0,100.0
Canada,Vancouver,3,97.3,95.0,100.0,100.0,100.0,92.9
Canada,Toronto,4,97.2,100.0,100.0,97.2,100.0,89.3
Australia,Adelaide,5,96.6,95.0,100.0,94.2,100.0,96.4
Canada,Calgary,5,96.6,100.0,100.0,89.1,100.0,96.4
Australia,Sydney,7,96.1,90.0,100.0,94.4,100.0,100.0
Australia,Perth,8,95.9,95.0,100.0,88.7,100.0,100.0
New Zealand,Auckland,9,95.7,95.0,95.8,97.0,100.0,92.9
Finland,Helsinki,10,95.6,100.0,100.0,88.7,91.7,96.4
Switzerland,Zurich,10,95.6,95.0,100.0,93.5,91.7,96.4
Switzerland,Geneva,12,95.2,95.0,100.0,92.1,91.7,96.4
Germany,Hamburg,13,95.0,90.0,100.0,93.5,91.7,100.0
Canada,Montreal,14,94.8,95.0,100.0,90.0,100.0,92.9
Germany,Frankfurt,15,94.7,85.0,100.0,97.2,91.7,100.0
Japan,Tokyo,15,94.7,90.0,100.0,94.4,100.0,92.9
Japan,Osaka,17,94.5,90.0,100.0,93.5,100.0,92.9
Australia,Brisbane,18,94.2,95.0,100.0,93.5,91.7,89.3
US,Honolulu,19,94.1,95.0,91.7,88.0,100.0,100.0
Germany,Berlin,20,94.0,85.0,100.0,97.2,91.7,96.4
New Zealand,Wellington,21,93.6,95.0,91.7,94.4,100.0,89.3
Denmark,Copenhagen,22,93.5,85.0,95.8,95.4,100.0,96.4
Norway,Oslo,23,93.4,95.0,91.7,88.7,91.7,100.0
Sweden,Stockholm,24,93.3,95.0,87.5,91.2,100.0,96.4
Luxembourg,Luxembourg,24,93.3,95.0,100.0,90.5,83.3,92.9
Netherlands,Amsterdam,26,92.8,80.0,100.0,97.2,91.7,96.4
Belgium,Brussels,27,92.7,85.0,100.0,91.4,100.0,92.9
Germany,Munich,28,92.6,85.0,100.0,97.2,91.7,89.3
France,Paris,29,92.3,75.0,100.0,97.2,100.0,96.4
France,Lyon,30,91.3,85.0,100.0,88.7,100.0,89.3
Spain,Barcelona,31,91.2,80.0,91.7,94.4,100.0,96.4
US,Washington DC,31,91.2,80.0,91.7,94.4,100.0,96.4
Germany,Dusseldorf,33,91.1,85.0,100.0,92.1,75.0,96.4
US,Atlanta,33,91.1,85.0,91.7,91.7,100.0,92.9
US,Chicago,33,91.1,85.0,91.7,91.7,100.0,92.9
US,Boston,36,90.5,80.0,91.7,91.7,100.0,96.4
US,Miami,37,89.8,80.0,91.7,91.7,100.0,92.9
Spain,Madrid,38,89.7,80.0,87.5,94.4,100.0,92.9
US,Pittsburgh,39,89.6,80.0,91.7,87.7,100.0,96.4
US,Cleveland,40,89.6,85.0,91.7,88.7,100.0,89.3
US,Minneapolis,40,89.6,85.0,91.7,85.9,100.0,92.9
Ireland,Dublin,42,89.5,85.0,87.5,92.8,100.0,87.5
Italy,Milan,42,89.5,85.0,87.5,91.7,100.0,89.3
Italy,Rome,44,89.0,80.0,87.5,91.7,100.0,92.9
Hungary,Budapest,45,88.9,85.0,91.7,90.0,100.0,83.9
US,Seattle,46,88.8,75.0,91.7,95.8,91.7,92.9
Hong Kong,Hong Kong,46,88.8,85.0,87.5,83.1,100.0,96.4
