City,Country,Rank,Overall Rating,Stability,Healthcare,Culture and Environment,Education,Infrastructure
Auckland,New Zealand,1,96,95,95.8,97.9,100,92.9
Osaka,Japan,2,94.2,100,100,83.1,91.7,96.4
Adelaide,Australia,3,94,95,100,83.8,100,96.4
Wellington,New Zealand,4,93.7,95,91.7,95.1,100,89.3
Tokyo,Japan,4,93.7,100,100,84,91.7,92.9
Perth,Australia,6,93.3,95,100,78.2,100,100
Zurich,Switzerland,7,92.8,95,100,85.9,83.3,96.4
Geneva,Switzerland,8,92.5,95,100,84.5,83.3,96.4
Melbourne,Australia,8,92.5,95,83.3,88.2,100,100
Brisbane,Australia,10,92.4,95,100,85.9,100,85.7
Caracas,Venezuela,131,41.7,35,25,45.6,58.3,53.6
Douala,Cameroon,132,38.6,60,12.5,40.3,25,42.9
Harare,Zimbabwe,133,36.6,40,12.5,44.4,58.3,35.7
Karachi,Pakistan,134,36.2,20,33.3,33.3,58.3,51.8
Tripoli,Libya,135,34.2,30,29.2,33.8,41.7,41.1
Algiers,Algeria,136,34.1,35,29.2,37.3,41.7,30.4
Dhaka,Bangladesh,137,33.5,55,16.7,30.8,33.3,26.8
Port Moresby,PNG,138,32.5,30,16.7,36.1,33.3,46.4
Lagos,Nigeria,139,31.2,20,20.8,41,25,46.4
Damascus,Syria,140,26.5,20,16.7,36.8,25,32.1

